Constraint,Contingency,Hrs,% Hrs,Total $,Avg $,Max $,Constraint,,Map this to EQ code from mapping document,Mapped monitored lines from bus,Mapped monitored lines from bus Name,Mapped monitored lines To bus,Mapped monitored lines from bus Name,Contingency from bus number,Contingency From bus name,Contingency To bus number,Contingency to bus name
SONR-BONDROAD 69KV BONDRO_SONR1_1,DBIGKEN5,33,4.44%,"$2,583.16",$3.47,$431.63,SONR-BONDROAD,69KV,BONDRO_SONR1_1,6513,SONR2A,6570,BONDROAD2A,7046,L_KENDAL,60618,EDISON7
GNTSW-SPRTP 138KV 6345__B,SWLFMON8,28,3.76%,$423.41,$0.57,$119.83,GNTSW-SPRTP,138KV,6345__B,1053,GENRUBR_8,1099,SWPORTAP_8,1107,MONAHN2T,1108,MONAHN2_
HAMILTON-MAVERICK 138KV HAMILT_MAVERI1_1,SBRAHAM8,21,2.82%,"$2,293.90",$3.08,$344.50,HAMILTON-MAVERICK,138KV,HAMILT_MAVERI1_1,8255,HAMILTON4A,8692,MAVERICK4A,8252,BRACKETT,8255,HAMILTON
WICKETT 138KV WICKETT_WAT1,DCULYUC8,19,2.55%,"$16,257.33",$21.85,"$2,333.33",WICKETT,138KV,WICKETT_WAT1,#N/A,#N/A,#N/A,#N/A,11105,PECONE_,11182,MCLLVAI
SN-STR 138KV SN_STR26_A,DDOWOAS5,18,2.42%,"$9,658.89",$12.98,"$3,208.33",SN-STR,138KV,SN_STR26_A,43240,SINTEK_X26B8,43300,STRATT_X26B8,42500,DOW____,43035,OASIS__
PIGCREEK-MUSQUIZ 138KV MUSQUI_PIGCRE1_1,SFLAPIG8,18,2.42%,$272.21,$0.37,$83.00,PIGCREEK-MUSQUIZ,138KV,MUSQUI_PIGCRE1_1,6673,MUSQUIZ4A,60393,PIGCREEK4A,38294,TNPIGTA,60393,PIGCREE
NEDIN 345KV NEDIN_138H,BASE CASE,17,2.28%,"$14,474.60",$19.46,"$6,077.46",NEDIN,345KV,NEDIN_138H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LKPNT-CRLNW 138KV 591__A,DCRLLSW5,17,2.28%,$520.02,$0.70,$199.12,LKPNT-CRLNW,138KV,591__A,2362,CRLTN_NW_E8,37010,TNLAKEPNTE1,2361,CRLTN_NW,33646,LEWISVL
LWSSW-LWVJS 138KV 590__A,DCRLLSW5,16,2.15%,$458.09,$0.62,$150.76,LWSSW-LWVJS,138KV,590__A,645,LEWISVLSW8_1,1973,LEW_JNSW_P8,2361,CRLTN_NW,33646,LEWISVL
TRNT-MKLT 69KV MKLT_TRNT1_1,DMCEBUT8,15,2.02%,$63.25,$0.09,$30.90,TRNT-MKLT,69KV,MKLT_TRNT1_1,6246,MKLT2A,6247,TRNT2A,1339,ESKOTA_8,76319,L_MCELM
WOODWRD2-16TH_ST 138KV 16TH_WRD2_1,SWOORI38,14,1.88%,$530.55,$0.71,$198.47,WOODWRD2-16TH_ST,138KV,16TH_WRD2_1,38310,TN16TH_ST_1,38330,TNWDWRDTAP1,6630,FTST4A,6671,TOMBSTNE
LOCUST_D-HICKRY_D 69KV HIC_LOCU_1,SSPNDEN9,14,1.88%,$172.17,$0.23,$115.82,LOCUST_D-HICKRY_D,69KV,HIC_LOCU_1,910,HICKORY69,914,LOCUST69,981,SPNCRINT6,69,982
NEDIN-MCOLL_RD 138KV MCOLL__NEDIN1_1,DNEDPAL8,12,1.61%,$0.00,$0.00,$0.00,NEDIN-MCOLL_RD,138KV,MCOLL__NEDIN1_1,8380,NEDIN4A,8908,MCOLL_RD4A,5771,WEDINBUR,5772,ALTONSUB
FORSW-FORWE 138KV 1090__A,DRYSFOR5,11,1.48%,"$7,874.64",$10.58,"$3,272.71",FORSW-FORWE,138KV,1090__A,2438,FRNY1_8,2712,FORNEY_W_P8,2437,FRNY1_5,2474,ROYSE1_T
LINTERNA-SOLSTICE 138KV LINTER_SOLSTI1_1,SPYOWIC8,10,1.34%,$213.11,$0.29,$75.74,LINTERNA-SOLSTICE,138KV,LINTER_SOLSTI1_1,60383,LINTERNA4A,60385,SOLSTICE4A,37981,TNWICKE,38001,TNPYOTE
NORSW-RGLRW 138KV 3360__D,SEMPNOR8,10,1.34%,$0.00,$0.00,$0.00,NORSW-RGLRW,138KV,3360__D,2407,NORWDPL_E8,2800,REGRW1_8,2488,DENDR_W8,2801,REGRW2_8
IH20-PECOS 69KV M_69_J1_1,SHACPB38,10,1.34%,$0.00,$0.00,$0.00,IH20-PECOS,69KV,M_69_J1_1,38040,TNIH20____0,38090,TNPECOS___0,6656,HACKBTAP,60408,ARROWHE
SONR 138KV SONR_69-1,SHAMMAX8,9,1.21%,$60.86,$0.08,$22.91,SONR,138KV,SONR_69-1,#N/A,#N/A,#N/A,#N/A,8257,HAMILTON,8998,MAXWELL4
NLARSW-PILONCIL 138KV NLARSW_PILONC1_1,SLOBSA25,9,1.21%,$55.50,$0.07,$41.78,NLARSW-PILONCIL,138KV,NLARSW_PILONC1_1,80481,PILONCIL4,88909,NLARSW4B,5901,MIGUEL5,80219,LOBO7A
SPNCER-DENTON 69KV SPE_DEN_1,SLOCSPN9,9,1.21%,$0.32,$0.00,$0.32,SPNCER-DENTON,69KV,SPE_DEN_1,902,POES31569,981,SPNCRINT69,904,POLESPL26,914,LOCUST69
LWSVW-LWVTI 138KV 588_A_1,DCRLLSW5,8,1.08%,"$3,001.99",$4.03,"$2,334.61",LWSVW-LWVTI,138KV,588_A_1,37060,TNWEST____1,37080,TNTI______1,2361,CRLTN_NW,33646,LEWISVL
NCARBIDE-PV_TAP 69KV NCARBI_PV_TAP1_1,SPORNCA9,8,1.08%,$323.30,$0.43,$241.13,NCARBIDE-PV_TAP,69KV,NCARBI_PV_TAP1_1,8536,PV_TAP2A,80135,CSDBUS2,5598,SEADRIFT,80135,CSDBUS2
TRNT-MKLT 69KV MKLT_TRNT1_1,SMCEESK8,8,1.08%,$32.78,$0.04,$32.78,TRNT-MKLT,69KV,MKLT_TRNT1_1,6246,MKLT2A,6247,TRNT2A,1339,ESKOTA_8,76319,L_MCELM
GASPAD-BASIN 138KV BASIN_GASPAD1_1,SWCSBOO8,7,0.94%,"$5,728.57",$7.70,"$2,644.81",GASPAD-BASIN,138KV,BASIN_GASPAD1_1,60397,GASPADTA4A,60415,BASIN4A,60383,LINTERN,60385,SOLSTIC
AE-LV 138KV AE_LV_04_A,SMDOOAS5,7,0.94%,$0.00,$0.00,$0.00,AE-LV,138KV,AE_LV_04_A,42110,ANGLTN__B138,42870,LIVRPL_S04_8,43030,MEADOW_,43035,OASIS__
